y_true,y_pred,abs_error,abs_error_percetage,nll,v,alpha,beta,abs_error_percentage
-50.0,-51.079285,1.07928466796875,1.07928466796875,-2.1546986,0.008687885,1.3200598,5.5427085e-06,2.1585693359375
-60.0,-61.27787,1.2778701782226562,1.2778701782226562,-1.9220934,0.0011356099,1.0240234,1.267296e-06,2.1297836303710938
-64.0,-62.654068,1.3459320068359375,1.3459320068359375,-1.8863536,0.0018819517,1.0284879,1.9384238e-06,2.1030187606811523
-66.0,-67.3852,1.3852005004882812,1.3852005004882812,-1.8649929,0.0027994693,1.084701,2.2278095e-06,2.0987886371034565
10.0,10.207995,0.20799541473388672,0.20799541473388672,-3.3002882,0.0031436745,1.9559481,1.001646e-06,2.079954147338867
10.0,10.197314,0.19731426239013672,0.19731426239013672,-3.2766986,0.0030731265,1.8756893,1.0017501e-06,1.9731426239013672
-121.0,-123.30813,2.3081283569335938,2.3081283569335938,-1.2429855,0.0001323261,1.174912,1.0004896e-06,1.9075440966393338
12.0,12.225829,0.2258291244506836,0.2258291244506836,-3.0886497,0.0055172313,1.0562942,1.3059852e-06,1.8819093704223633
-49.0,-48.100758,0.8992424011230469,0.8992424011230469,-2.1780634,0.010207875,1.8190197,2.7041488e-06,1.8351885737205038
-49.0,-48.10993,0.8900718688964844,0.8900718688964844,-2.1999614,0.0101192305,1.8100035,2.6825962e-06,1.81647320182956
-90.0,-88.39382,1.6061782836914062,1.6061782836914062,-1.6206933,0.0019053469,1.2388872,1.2742512e-06,1.7846425374348958
-96.0,-94.29505,1.7049484252929688,1.7049484252929688,-1.6560241,0.0009592675,1.1099789,1.1100897e-06,1.775987943013509
-14.0,-14.248574,0.24857425689697266,0.24857425689697266,-3.4680974,0.019885238,1.8026099,3.2074358e-06,1.7755304064069475
-103.0,-101.18851,1.811492919921875,1.811492919921875,-1.5828717,0.0010016656,1.115128,1.1755064e-06,1.7587309902154127
6.48,6.366313,0.11368701934814496,0.11368701934814496,-3.4153986,0.0043486194,1.6643623,1.0097588e-06,1.7544293109281628
6.48,6.368438,0.11156223297119183,0.11156223297119183,-3.4160814,0.004332728,1.6681008,1.0094686e-06,1.7216393977035775
-16.0,-15.72631,0.27369022369384766,0.27369022369384766,-2.8019965,0.018371683,1.2499353,9.710482e-06,1.7105638980865479
33.0,33.560112,0.5601119995117188,0.5601119995117188,-2.410343,0.001314997,1.0068445,1.0125854e-06,1.6973090894294507
33.0,33.55568,0.5556793212890625,0.5556793212890625,-2.464465,0.0015408051,1.0057033,1.025318e-06,1.6838767311789773
-60.0,-60.9543,0.9542999267578125,0.9542999267578125,-2.1042254,0.0011297216,1.0239199,1.2664573e-06,1.5904998779296875
-49.0,-48.221214,0.7787857055664062,0.7787857055664062,-2.4504,0.010275452,1.7915177,2.8650575e-06,1.589358582788584
